name,price
★ Sport Gloves | Pandora's Box (Well-Worn),12200
★ Butterfly Knife | Autotronic (Factory New),12199
★ Specialist Gloves | Tiger Strike (Minimal Wear),12195
★ Specialist Gloves | Foundation (Factory New),12000
Sticker | Ninjas in Pyjamas (Holo) | Katowice 2014,12000
AK-47 | Fire Serpent (Factory New),11688
★ StatTrak™ Karambit | Lore (Factory New),11655
★ Survival Knife | Crimson Web (Factory New),11500
★ Driver Gloves | Imperial Plaid (Factory New),11488
AWP | The Prince (Battle-Scarred),11475
★ Moto Gloves | Cool Mint (Factory New),11300
★ Sport Gloves | Big Game (Factory New),11200
AK-47 | Gold Arabesque (Factory New),11049.5
★ Butterfly Knife | Fade (Factory New),11000
★ StatTrak™ Flip Knife | Gamma Doppler (Minimal Wear),10999.5
★ StatTrak™ Butterfly Knife | Fade (Factory New),10999
M4A1-S | Knight (Minimal Wear),10999
★ Ursus Knife | Crimson Web (Factory New),10990
AWP | Medusa (Field-Tested),10887
★ StatTrak™ Huntsman Knife | Stained (Factory New),10800
M4A1-S | Knight (Factory New),10800
Souvenir AWP | Desert Hydra (Field-Tested),10779.5
AWP | Desert Hydra (Minimal Wear),10600
M4A1-S | Imminent Danger (Factory New),10599
★ Hand Wraps | Giraffe (Factory New),10500
★ Specialist Gloves | Crimson Web (Factory New),10499
★ Butterfly Knife | Fade (Minimal Wear),10397.5
AK-47 | X-Ray (Factory New),10396
★ StatTrak™ Gut Knife | Rust Coat (Well-Worn),10373
★ Classic Knife | Crimson Web (Factory New),10300
★ StatTrak™ Butterfly Knife | Fade (Minimal Wear),10300
Sticker | s1mple (Gold) | Boston 2018,10097.5
★ StatTrak™ Navaja Knife | Ultraviolet (Battle-Scarred),10000
★ StatTrak™ Shadow Daggers | Ultraviolet (Factory New),10000
★ StatTrak™ Bayonet | Ultraviolet (Battle-Scarred),10000
P90 | Desert Warfare (Well-Worn),10000
DreamHack 2014 Overpass Souvenir Package,10000
